"idBank";"Dernière mise à jour";"Activité";"Zone géographique";"IDBANK pour sdmx";"Correction";"﻿Base de l'indice";"Périodicité";"﻿﻿﻿﻿Indicateur";"Nature";"Puissance";"Unité"
"010542374";"31/01/2020 12:00";"Ensemble du commerce";"France";"Sans objet";"Non corrigé";"2015";"Mensuelle";"Indice de chiffre d'affaires dans le commerce";"Indice en valeur";"0";"sans objet"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
